Code,Facility Name,Province,County,Sub County,Ward
16314,Takaba Nomadic Mobile,Mandera,Mandera,Mandera West,Takaba
23183,Takaba Nursing Home LTD,Mandera,Mandera,Mandera West,Takaba
25031,Takar Dispensary,West Pokot,West Pokot,Pokot Central,Wei Wei
11836,Takaungu Dispensary,Kilifi,Kilifi,Kilifi North,Mnarani
24125,Takaungu Island Health Services,Kilifi,Kilifi,Kilifi North,Mnarani
14140,Takawiri Dispensary,Homa Bay,Homa Bay,Mbita,Mfangano Island
20362,Takaywa Dispensary,West Pokot,West Pokot,Pokot Central,Masool
15700,Takitech Dispensary,Narok,Narok,Transmara East,Ololmasani
17170,Tala Health Centre,Homa Bay,Homa Bay,Kabondo Kasipul,Kokwanyo/Kakelo
12784,Tala Medical Services,Machakos,Machakos,Matungulu,Tala
15701,Talai Dispensary,Baringo,Baringo,Baringo Central,Ewalel/Chapchap
22319,Talana Specialist Centre,Kajiado,Kajiado,Kajiado East,Kitengela
20058,Talau Dispensary,West Pokot,West Pokot,West Pokot,Siyoi
15702,Talek Health Centre,Narok,Narok,Narok West,Mara
21608,Talitia Dispensary,Bungoma,Bungoma,Bumula,Kabula
25083,Talon Dispensary,West Pokot,West Pokot,Pokot Central,Sekerr
23748,Tamam Health Care Services,Kiambu,Kiambu,Gatundu South,Ngenda
25490,Tamani Medical Center,Kirinyaga,Kirinyaga,Kirinyaga East,Kabare
20770,Tamarukwa Dispensary,West Pokot,West Pokot,West Pokot,Endugh
24075,Tamarukwo Dispensary,West Pokot,West Pokot,West Pokot,Endugh
22982,Tamba Pwani CBO (Kilifi),Kilifi,Kilifi,Kilifi North,Sokoni
15703,Tambach Sub-County Hospital,Elgeyo Marakwet,Elgeyo Marakwet,Keiyo North,Tambach
11083,Tambaya Dispensary,Nyeri,Nyeri,Mukurweini,Mukurwe-ini West
11084,Tambaya Medical Clinic,Nyeri,Nyeri,Mukurweini,Mukurwe-ini West
24565,Tamboiyo Dispensary,Nandi,Nandi,Chesumei,Kaptel/Kamoiywo
15704,Tamkal Dispensary,West Pokot,West Pokot,Pokot Central,Wei Wei
16148,Tamlega Dispensary,Bungoma,Bungoma,Sirisia,Lwandanyi
15705,Tamough Health Centre,West Pokot,West Pokot,West Pokot,Sook
14141,Tamu Health Centre,Kisumu,Kisumu,Muhoroni,Chemelil
11085,Tana Clinic,Nyeri,Nyeri,Mathira East,Karatina Town
12785,Tana Medical Clinic (Machakos),Machakos,Machakos,Athi River,Syokimau/Mulolongo
12786,Tana Medical Clinic (Yatta),Machakos,Machakos,Yatta,Matuu
22062,Tana River County Beyond Zero Clinic,Tana River,Tana River,Galole,Chewani
11398,Tana River GK Prisons Dispensary,Tana River,Tana River,Galole,Chewani
16149,Tanaka Nursing Home,Busia,Busia,Matayos,Burumba
15706,Tangasir Dispensary,Uasin Gishu,Uasin Gishu,Moiben,Karuna/Meibeki
23352,Tangi Tano Dispensary,Nakuru,Nakuru,Gilgil,Elementaita
15707,Tangulbei Sub county Hospital,Baringo,Baringo,Tiaty East,Tangulbei/Korossi
25013,Tantu Medical Centre,Migori,Migori,Kuria West,Isibania
15708,Tapach Dispensary,West Pokot,West Pokot,Pokot South,Tapach
17706,Taqwa Nursing Home,Marsabit,Marsabit,Moyale,Moyale Township
14142,Taracha Health Centre,Kisii,Kisii,Nyaribari Chache,Birongo
14143,Taragai Dispensary,Migori,Migori,Kuria East,Ntimaru East
22981,Taragwiti Dispensary,Migori,Migori,Kuria West,Mokerero
17255,Tarakwa Dispensary (Eldoret West),Uasin Gishu,Uasin Gishu,Soy,Kipsomba
15710,Tarakwa Health centre,Bomet,Bomet,Bomet Central,Mutarakwa
24065,Tarama Dispensary,Mandera,Mandera,Banissa,Derkhale
14144,Taranganya Dispensary,Migori,Migori,Kuria West,Bukira East
11837,Tarasaa Catholic Dispensary,Tana River,Tana River,Garsen,Garsen South
13446,Tarbaj Health Centre,Wajir,Wajir,Tarbaj,Tarbaj
11838,Taru Dispensary,Kwale,Kwale,Kinango,Mackinon Road
18258,Tasia Family Medical Clinic,Kajiado,Kajiado,Kajiado North,Olkeri
23912,Tasneem Medical Clinic,Garissa,Garissa,Garissa,Galbet
11086,Tata Hannah (African Christian Churches And Schools) Dispensary,Muranga,Muranga,Kigumo,Kangari
17801,Taunet Dispensary,Nandi,Nandi,Tinderet,Songhor/Soba
11839,Tausa Health Centre,Taita Taveta,Taita Taveta,Voi,Mbololo
11841,Taveta Meditech Centre,Taita Taveta,Taita Taveta,Taveta,Bomani
11840,Taveta Sub County Hospital,Taita Taveta,Taita Taveta,Taveta,Bomani
12787,Tawa Sub County Hospial,Makueni,Makueni,Mbooni,Kiteta-kisau
19044,Tawaheed Community Medical Clinic,Garissa,Garissa,Garissa,Waberi
19042,Tawakal Medical Clinic,Garissa,Garissa,Garissa,Iftin
16551,Tawakal Medical Clinic (Msambweni),Kwale,Kwale,Msambweni,Ramisi
11843,Tawfiq Muslim Hospital,Kilifi,Kilifi,Malindi,Malindi Town
23333,Tawhed community,Tana River,Tana River,Galole,Chewani
19043,Tawheed Community Nursing Home,Garissa,Garissa,Garissa,Township
11844,Tawheed Dispensary,Kilifi,Kilifi,Malindi,Malindi Town
17975,Tayabi Medical and Dental Clinic,Mombasa,Mombasa,Nyali,Mkomani
19283,Tazama Dentel Clinic,Nairobi,Nairobi,Roysambu,Githurai
11846,Tchundwa Dispensary,Lamu,Lamu,Lamu East,Faza
14473,TDMP Tangulbei Dispensary,Baringo,Baringo,Tiaty East,Tangulbei/Korossi
15711,Tea Resaerch Dispensary,Kericho,Kericho,Kipkelion East,Chepseon
16471,Tea Research Foundation Dispensary,Kericho,Kericho,Kipkelion East,Chepseon
13235,Teachers Service Commission,Nairobi,Nairobi,Starehe,Nairobi Central
