County,Sub County,Facility,Mfl Code,Emr Site,Keph Level,Partner
Siaya,Ugenya Sub County,Ukwala Sub County Hospital,"14,156",Yes,Level 4,Siaya CHMT
Siaya,Alego Usonga Sub County,Ulafu Dispensary,"20,507",New EMR Site,Level 2,No Partner
Siaya,Ugunja Sub County,Uloma Dispensary,"22,406",New EMR Site,Level 2,No Partner
Siaya,Bondo Sub County,Ulungo Dispensary,"14,158",Yes,Level 2,CHS Shinda Tena
Siaya,Ugunja Sub County,Uluthe Dispensary,"13,799",Yes,Level 2,Siaya CHMT
Siaya,Alego Usonga Sub County,Umala Dispensary,"16,791",Yes,Level 2,Siaya CHMT
Siaya,Ugenya Sub County,Umer Dispensary,"17,530",Yes,Level 2,Siaya CHMT
Siaya,Ugenya Sub County,Urenga Health Centre,"14,159",Yes,Level 4,Siaya CHMT
Siaya,Gem Sub County,Uriri Dispensary,"14,160",Yes,Level 2,Siaya CHMT
Siaya,Bondo Sub County,Usenge Health Centre,"14,163",Yes,Level 3,CHS Shinda Tena
Siaya,Bondo Sub County,Usigu Sub County Hospital,"14,164",Yes,Level 4,CHS Shinda Tena
Siaya,Gem Sub County,Uthanya Dispensary,"22,498",New EMR Site,Level 2,No Partner
Siaya,Bondo Sub County,Uyawi Sub County Hospital,"14,165",Yes,Level 4,CHS Shinda Tena
Siaya,Ugenya Sub County,Wadenya Dispensary,"27,168",New EMR Site,Level 2,No Partner
Siaya,Gem Sub County,Wagai Health Centre,"16,792",Yes,Level 4,Siaya CHMT
Siaya,Rarieda Sub County,Wagoro Dispensary (Rarieda),"17,438",Yes,Level 2,CHS Shinda Tena
Siaya,Gem Sub County,Yala Sub County Hospital,"14,175",Yes,Level 4,Siaya CHMT
Kisumu,Kisumu Central,Administration Police Dispensary (Kisumu),"13,464",Yes,Level 2,CIHEB Entrench
Kisumu,Nyando,Ahero County Hospital,"13,468",Yes,Level 4,Kisumu CoAg
Kisumu,Nyakach,Anding'o Opanga Dispensary,"13,477",Yes,Level 2,CIHEB Entrench
Kisumu,Kisumu West,Airport Health Centre (Kisumu),"13,469",Yes,Level 3,USAID Nuru ya Mtoto
Kisumu,Kisumu East,Angola Health Centre,"21,236",Yes,Level 3,USAID Nuru ya Mtoto
Kisumu,Nyakach,Bonde Dispensary,"13,506",Yes,Level 2,CIHEB Entrench
Kisumu,Nyando,Bunde Health Centre,"13,518",Yes,Level 3,Kisumu CoAg
Kisumu,Kisumu East,Chiga Sub County Hospital,"13,524",Yes,Level 4,USAID Nuru ya Mtoto
Kisumu,Kisumu West,Chulaimbo County Hospital,"13,528",Yes,Level 4,USAID Nuru ya Mtoto
Kisumu,Kisumu East,Gita Sub County Hospital,"13,647",Yes,Level 4,USAID Nuru ya Mtoto
Kisumu,Kisumu West,Lwala Kadawa Health Centre,"17,174",Yes,Level 3,HJF_Kisumu West
Kisumu,Kisumu East,GK Prisons Dispensary (Kibos),"13,579",Yes,Level 2,LVCT Prisons
Kisumu,Muhoroni,Chemelil Health Centre (Muhoroni),"13,522",Yes,Level 3,Kisumu CoAg
Kisumu,Kisumu West,Kodiaga Prison Health Centre,"13,709",Yes,Level 2,LVCT Prisons
Kisumu,Kisumu East,Kowino Dispensary,"13,722",Yes,Level 2,USAID Nuru ya Mtoto
Kisumu,Kisumu West,Mainga Health Centre,"21,208",Yes,Level 3,USAID Nuru ya Mtoto
Kisumu,Kisumu East,Got Nyabondo Health Centre,"13,591",Yes,Level 3,CIHEB Entrench
Kisumu,Kisumu Central,Migosi Sub County Hospital,"13,807",Yes,Level 4,USAID Nuru ya Mtoto
Kisumu,Kisumu Central,Nyalenda Health Centre,"13,887",Yes,Level 3,USAID Nuru ya Mtoto
Kisumu,Kisumu West,Ober Kamoth Sub County Hospital,"13,954",Yes,Level 4,USAID Nuru ya Mtoto
Kisumu,Kisumu West,Ojola Sub County Hospital,"13,971",Yes,Level 4,USAID Nuru ya Mtoto
Kisumu,Kisumu West,Riat Dispensary,"14,046",Yes,Level 2,USAID Nuru ya Mtoto
Kisumu,Kisumu East,Simba Opepo Health Centre,"14,088",Yes,Level 3,USAID Nuru ya Mtoto
Kisumu,Kisumu West,St Mark's Lela Health Centre,"14,118",Yes,Level 3,USAID Nuru ya Mtoto
