County,Sub County,Facility,Mfl Code,Emr Site,Keph Level,Partner
Homa Bay,Rachuonyo North,Wikondiek Dispensary,"19,909",Yes,Level 3,HOMA BAY CHMT
Homa Bay,Rachuonyo North,Simbi Kogembo Dispensary,"14,089",Yes,Level 3,HOMA BAY CHMT
Homa Bay,Ndhiwa,Okok Dispensary,"16,259",Yes,Level 3,LVCT Vukisha 95
Homa Bay,Rangwe,Obuya Dispensary,"19,866",Yes,Level 2,HOMA BAY CHMT
Homa Bay,Suba South,NYS Dispensary (Suba),"13,949",Yes,Level 2,LVCT Vukisha 95
Homa Bay,Rachuonyo South,Yala Dispensary,"17,069",Yes,Level 3,HOMA BAY CHMT
Homa Bay,Homa Bay Town,Koduogo Dispensary,"19,861",Yes,Level 3,LVCT Vukisha 95
Homa Bay,Suba West,Nyakweri Dispensary,"18,420",Yes,Level 2,LVCT Vukisha 95
Homa Bay,Rachuonyo South,Matata Nursing Hospital,"13,789",Yes,Level 4,HOMA BAY CHMT
Homa Bay,Suba West,Yokia Dispensary,"14,176",Yes,Level 2,LVCT Vukisha 95
Homa Bay,Ndhiwa,Oridi Dispensary,"16,767",Yes,Level 3,LVCT Vukisha 95
Homa Bay,Rangwe,Ndiru Health Centre,"13,843",Yes,Level 3,HOMA BAY CHMT
Homa Bay,Homa Bay Town,Marindi Sub County Referral Hospital,"13,777",Yes,Level 4,LVCT Vukisha 95
Homa Bay,Rangwe,Nyambare Dispensary,"19,867",Yes,Level 3,HOMA BAY CHMT
Homa Bay,Rangwe,Rangwe Sub-District Hospital,"14,036",Yes,Level 4,HOMA BAY CHMT
Homa Bay,Rachuonyo North,Oyuma Dispensary (Rachuonyo),"17,852",Yes,Level 3,HOMA BAY CHMT
Homa Bay,Rachuonyo North,Kogweno Oriang' Dispensary,"13,711",Yes,Level 3,HOMA BAY CHMT
Homa Bay,Ndhiwa,Unga Dispensary,"20,242",Yes,Level 3,LVCT Vukisha 95
Homa Bay,Rachuonyo North,Omboga Dispensary,"13,980",Yes,Level 3,HOMA BAY CHMT
Homa Bay,Rangwe,Rariw Dispensary,"14,038",Yes,Level 2,HOMA BAY CHMT
Homa Bay,Homa Bay Town,Nyalkinyi (Jersey) Dispensary,"16,986",Yes,Level 3,LVCT Vukisha 95
Homa Bay,Rachuonyo North,Kosele Dispensary,"13,721",Yes,Level 3,HOMA BAY CHMT
